Resource,Type,Expansion (%),Control Expansion(%),Damaged Compressive Strength,Control Compressive Strength,Compressive Strength Loss,Damaged Elastic Modulus,Control Elastic Modulus,Elastic Modulus Loss,Mean/Individual,Note,
Swamy & Al-Asali (1988) 2 Mix 4.5% (From ALKAN HAFCI (2013)*),ASR,1.60,0,0.38,1,0.62,,,,,In Loss Ratio,
Swamy & Al-Asali (1988) 2 Mix 15% (From ALKAN HAFCI (2013)*),ASR,0.05,0,0.88,1,0.12,,,,,In Loss Ratio,
Swamy & Al-Asali (1988) 2 Mix 15% (From ALKAN HAFCI (2013)*),ASR,0.10,0,0.89,1,0.11,,,,,In Loss Ratio,
Swamy & Al-Asali (1988) 2 Mix 15% (From ALKAN HAFCI (2013)*),ASR,0.20,0,0.85,1,0.15,,,,,In Loss Ratio,
Swamy & Al-Asali (1988) 2 Mix 15% (From ALKAN HAFCI (2013)*),ASR,0.40,0,0.7,1,0.3,,,,,In Loss Ratio,
Swamy & Al-Asali (1988) 2 Mix 15% (From ALKAN HAFCI (2013)*),ASR,0.60,0,0.6,1,0.4,,,,,In Loss Ratio,
Swamy & Al-Asali (1988) 3 Mix 4.5% (From ALKAN HAFCI (2013)*),ASR,0.004,0,,,,37.5,38.8,0.0335051546391752,,,
Swamy & Al-Asali (1988) 3 Mix 4.5% (From ALKAN HAFCI (2013)*),ASR,0.071,0.0,,,,32.7,41.0,0.202439024390244,,,
Swamy & Al-Asali (1988) 3 Mix 4.5% (From ALKAN HAFCI (2013)*),ASR,0.097,0.001,,,,23.7,41.1,0.423357664233577,,,
Swamy & Al-Asali (1988) 3 Mix 4.5% (From ALKAN HAFCI (2013)*),ASR,0.316,0.003,,,,20.8,42.5,0.510588235294118,,,
Swamy & Al-Asali (1988) 3 Mix 4.5% (From ALKAN HAFCI (2013)*),ASR,0.883,0.017,,,,19.6,44.2,0.556561085972851,,,
Swamy & Al-Asali (1988) 3 Mix 4.5% (From ALKAN HAFCI (2013)*),ASR,1.644,0.021,,,,10.4,45.5,0.771428571428571,,,
Swamy & Al-Asali (1988) 3 Mix 15% (From ALKAN HAFCI (2013)*),ASR,0.005,0.001,,,,40.2,41.1,0.0218978102189781,,,
Swamy & Al-Asali (1988) 3 Mix 15% (From ALKAN HAFCI (2013)*),ASR,0.023,0.003,,,,40.8,42.5,0.0400000000000001,,,
Swamy & Al-Asali (1988) 3 Mix 15% (From ALKAN HAFCI (2013)*),ASR,0.259,0.017,,,,24.0,44.2,0.457013574660634,,,
Swamy & Al-Asali (1988) 3 Mix 15% (From ALKAN HAFCI (2013)*),ASR,0.623,0.021,,,,18.9,45.5,0.584615384615385,,,
Swamy & Al-Asali (1988) 4 Mix 4.5% (From ALKAN HAFCI (2013)*),ASR,0.0,0,,,,0.954,1,0.046,,,
Swamy & Al-Asali (1988) 4 Mix 4.5% (From ALKAN HAFCI (2013)*),ASR,0.071,0,,,,0.797,1,0.203,,,
Swamy & Al-Asali (1988) 4 Mix 4.5% (From ALKAN HAFCI (2013)*),ASR,0.097,0,,,,0.577,1,0.423,,,
Swamy & Al-Asali (1988) 4 Mix 4.5% (From ALKAN HAFCI (2013)*),ASR,0.316,0,,,,0.489,1,0.511,,,
Swamy & Al-Asali (1988) 4 Mix 4.5% (From ALKAN HAFCI (2013)*),ASR,0.883,0,,,,0.442,1,0.558,,,
Swamy & Al-Asali (1988) 4 Mix 4.5% (From ALKAN HAFCI (2013)*),ASR,1.442,0,,,,0.253,1,0.747,,,
Swamy & Al-Asali (1988) 4 Mix 4.5% (From ALKAN HAFCI (2013)*),ASR,1.618,0,,,,0.181,1,0.819,,,
Swamy & Al-Asali (1988) 4 Mix 4.5% (From ALKAN HAFCI (2013)*),ASR,1.644,0,,,,0.229,1,0.771,,,
Swamy & Al-Asali (1988) 4 Mix 15% (From ALKAN HAFCI (2013)*),ASR,0.0,0,,,,0.973,1,0.027,,,
Swamy & Al-Asali (1988) 4 Mix 15% (From ALKAN HAFCI (2013)*),ASR,0.0,0,,,,0.962,1,0.038,,,
Swamy & Al-Asali (1988) 4 Mix 15% (From ALKAN HAFCI (2013)*),ASR,0.005,0,,,,0.977,1,0.023,,,
Swamy & Al-Asali (1988) 4 Mix 15% (From ALKAN HAFCI (2013)*),ASR,0.023,0,,,,0.96,1,0.04,,,
Swamy & Al-Asali (1988) 4 Mix 15% (From ALKAN HAFCI (2013)*),ASR,0.259,0,,,,0.543,1,0.457,,,
Swamy & Al-Asali (1988) 4 Mix 15% (From ALKAN HAFCI (2013)*),ASR,0.615,0,,,,0.32,1,0.680,,,
Swamy & Al-Asali (1988) 4 Mix 15% (From ALKAN HAFCI (2013)*),ASR,0.625,0,,,,0.402,1,0.598,,,
Swamy & Al-Asali (1988) 4 Mix 15% (From ALKAN HAFCI (2013)*),ASR,0.623,0,,,,0.416,1,0.584,,,
小川森平(2018)*,ASR,2.332,0.32,13.8,24,0.425,13.68,24,0.43,,Cylinder,
